#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
55,Kazakhstan,"1,306,233",+66,"13,663",,"1,292,269",+25,301,24,"67,955",711,"11,575,012","602,176","19,221,980",Asia,15,"1,407",2,3,,16
56,Hong Kong,"1,237,877","+1,917","9,398",,"1,200,761",+228,"27,718",2,"162,503","1,234","50,415,048","6,618,265","7,617,563",Asia,6,811,0,252,,"3,639"
57,Morocco,"1,204,578","+2,117","16,101",+3,"1,169,060","+1,366","19,417",293,"31,886",426,"11,870,186","314,210","37,777,918",Africa,31,"2,346",3,56,0.08,514
58,Bulgaria,"1,170,091",+123,"37,246",,"1,071,522",+101,"61,323",26,"170,946","5,441","10,089,051","1,473,971","6,844,808",Europe,6,184,1,18,,"8,959"
59,Croatia,"1,145,490",+437,"16,050",+2,"1,125,591",+184,"3,849",6,"282,481","3,958","4,929,863","1,215,718","4,055,103",Europe,4,253,1,108,0.5,949
60,Finland,"1,133,597",,"4,832",,"1,100,379",,"28,386",21,"203,966",869,"11,040,907","1,986,567","5,557,781",Europe,5,"1,150",1,,,"5,107"
61,Lebanon,"1,108,213",+611,"10,461",+1,"1,087,587",,"10,165",186,"163,819","1,546","4,795,578","708,894","6,764,875",Asia,6,647,1,90,0.1,"1,503"
62,Cuba,"1,105,924",+28,"8,529",,"1,097,215",+19,180,23,"97,758",754,"13,852,049","1,224,446","11,312,913",North America,10,"1,326",1,2,,16
63,Lithuania,"1,066,446",+60,"9,166",+1,"1,038,300",,"18,980",5,"402,880","3,463","10,002,012","3,778,542","2,647,056",Europe,2,289,0,23,0.4,"7,170"
64,Tunisia,"1,046,703",,"28,670",,N/A,N/A,N/A,29,"86,764","2,377","4,658,280","386,137","12,063,794",Africa,12,421,3,,,-723.07
65,Slovenia,"1,035,205",+246,"6,648",,"1,021,679",+142,"6,878",10,"497,813","3,197","2,680,719","1,289,115","2,079,504",Europe,2,313,1,118,,"3,308"
66,Belarus,"982,867",,"6,978",,N/A,N/A,N/A,,"104,082",739,"13,220,483","1,400,006","9,443,162",Europe,10,"1,353",1,,,"5,015"
67,Nepal,"979,533",+21,"11,952",,"967,389",+17,192,,"32,461",396,"5,751,369","190,596","30,175,731",Asia,31,"2,525",5,0.7,,6
68,Uruguay,"957,629",+212,"7,331",+3,"944,959","+2,372","5,339",18,"273,797","2,096","6,114,822","1,748,294","3,497,594",South America,4,477,1,61,0.9,"1,526"
69,UAE,"938,759","+1,722","2,311",,"919,155","+1,572","17,293",,"92,696",228,"169,151,319","16,702,488","10,127,313",Asia,11,"4,382",0,170,,"1,708"
70,Mongolia,"926,282",,"2,179",,N/A,N/A,N/A,192,"273,809",644,"4,030,048","1,191,281","3,382,953",Asia,4,"1,553",1,,,"180,566"
71,Bolivia,"920,595",+858,"21,953",+1,"881,071",+510,"17,571",220,"76,789","1,831","2,705,422","225,664","11,988,700",South America,13,546,4,72,0.08,"1,466"
72,Panama,"915,057","+1,125","8,347",+1,"891,569","+1,811","15,141",16,"205,657","1,876","6,537,816","1,469,362","4,449,424",North America,5,533,1,253,0.2,"3,403"
73,Costa Rica,"904,934",,"8,525",,"860,711",,"35,698",52,"174,484","1,644","4,659,757","898,467","5,186,340",North America,6,608,1,,,"6,883"
74,Ecuador,"901,739",,"35,705",,N/A,N/A,N/A,759,"49,616","1,965","2,470,170","135,916","18,174,188",South America,20,509,7,,,"23,228"
75,Guatemala,"896,850",+717,"18,497",+6,"852,088",+323,"26,265",5,"48,289",996,"4,860,998","261,730","18,572,568",North America,21,"1,004",4,39,0.3,"1,414"
76,Latvia,"832,884",,"5,855",,"824,015",,"3,014",7,"451,455","3,174","7,307,386","3,960,883","1,844,888",Europe,2,315,0,,,"1,634"
77,Azerbaijan,"793,164",+24,"9,717",,"783,292",+25,155,,"76,854",942,"6,954,464","673,859","10,320,358",Asia,13,"1,062",1,2,,15
78,Saudi Arabia,"791,784",+827,"9,201",+3,"772,979",+975,"9,604",153,"22,062",256,"43,322,960","1,207,146","35,888,746",Asia,45,"3,901",1,23,0.08,268
79,Sri Lanka,"664,080",+15,"16,521",,"647,017",+3,542,,"30,757",765,"6,486,117","300,405","21,591,231",Asia,33,"1,307",3,0.7,,25
80,Paraguay,"655,532",,"18,963",,"624,673",,"11,896",6,"89,722","2,595","2,646,163","362,179","7,306,236",South America,11,385,3,,,"1,628"
81,Kuwait,"642,498",+513,"2,555",,"635,379",+465,"4,564",2,"146,162",581,"8,195,066","1,864,302","4,395,783",Asia,7,"1,720",1,117,,"1,038"
82,Bahrain,"618,498","+1,910","1,492",,"602,796","+1,773","14,210",11,"340,056",820,"9,986,970","5,490,936","1,818,810",Asia,3,"1,219",0,"1,050",,"7,813"
83,Myanmar,"613,556",+3,"19,434",,"592,530",+2,"1,592",,"11,129",352,"8,350,608","151,463","55,132,912",Asia,90,"2,837",7,0.05,,29
84,Dominican Republic,"603,256",+902,"4,383",,"595,317","+2,994","3,556",26,"54,526",396,"3,469,885","313,631","11,063,578",North America,18,"2,524",3,82,,321
85,Palestine,"584,243",+950,"5,356",,"577,938",+411,949,17,"109,481","1,004","3,078,533","576,883","5,336,497",Asia,9,996,2,178,,178
86,Estonia,"579,316",,"2,588",,"521,759",,"54,969",5,"436,132","1,948","3,402,677","2,561,672","1,328,303",Europe,2,513,0,,,"41,383"
87,Venezuela,"525,782",+66,"5,729",+1,"518,191",+114,"1,862",25,"18,594",203,"3,359,014","118,793","28,276,265",South America,54,"4,936",8,2,0.04,66
88,Moldova,"519,741",,"11,563",,"504,142",,"4,036",49,"129,437","2,880","3,216,305","800,996","4,015,382",Europe,8,347,1,,,"1,005"
89,Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,790","106,160,773",Africa,206,"4,313",29,,,460
